genre,category
classic korean pop,pop
classic malaysian pop,pop
classic mandopop,pop
classic norwegian pop,pop
classic nz country,classic
classic nz pop,pop
classic oklahoma country,classic
classic opm,classic
classic pakistani pop,pop
classic persian pop,pop
classic peruvian pop,pop
classic polish pop,pop
classic portuguese pop,pop
classic praise,classic
classic progressive house,classic
classic psychedelic rock,classic
classic punjabi pop,pop
classic rock,classic
classic romanian pop,pop
classic russian pop,pop
classic russian rock,classic
classic schlager,classic
classic sierreno,classic
classic sinhala pop,pop
classic soul,classic
classic soundtrack,classic
classic sudanese pop,pop
classic swedish pop,pop
classic texas country,classic
classic tunisian pop,pop
classic turkish pop,pop
classic uk pop,pop
classic venezuelan pop,pop
classical,classic
classical accordion,classic
classical baritone,classic
classical bass,classic
classical bassoon,classic
classical cello,classic
classical clarinet,classic
classical contralto,classic
classical countertenor,classic
classical drill,classic
classical era,classic
classical flute,classic
classical guitar,classic
classical guitar duo,classic
classical guitar quartet,classic
classical harp,classic
classical horn,classic
classical jazz fusion,jazz
classical mandolin,classic
classical mezzo-soprano,classic
classical oboe,classic
classical organ,classic
classical percussion,classic
classical performance,classic
classical piano,classic
classical piano duo,classic
classical piano quartet,classic
classical piano trio,classic
classical saxophone,classic
classical saxophone quartet,classic
classical soprano,classic
classical string trio,classic
classical tenor,classic
classical trombone,classic
classical trumpet,classic
classical tuba,classic
classify,other
clawhammer banjo,other
clean comedy,other
cleveland indie,other
cleveland metal,metal
cloud rap,rap
cloud rap francais,rap
coco,other
coldwave,other
collage pop,pop
college a cappella,other
college marching band,other
cologne electronic,electronic
cologne hip hop,hiphop
cologne indie,other
colombian black metal,metal
colombian electronic,electronic
colombian hardcore,other
colombian hip hop,hiphop
colombian indie,other
colombian pop,pop
colombian rock,rock
colorado hardcore,other
columbus ohio indie,other
comedie musicale,other
comedienne,other
comedy,other
comedy rap,rap
comedy rock,rock
comic,other
comic metal,metal
commons,other
complextro,other
compositional ambient,other
comptine africaine,other
concepcion indie,other
concert band,other
concertina,other
connecticut hardcore,other
connecticut indie,other
conscious hip hop,hiphop
contemporary choir,other
contemporary classical,classic
contemporary classical piano,classic
contemporary country,other
contemporary folk,folk
contemporary gospel,other
contemporary jazz,jazz
contemporary post-bop,other
contemporary r&b,other
contemporary vocal jazz,jazz
contra dance,other
contrabass,other
convent,other
cook islands pop,pop
cool jazz,jazz
copla,other
cork indie,other
cornetas y tambores,other
cornish folk,folk
cornwall indie,other
corrido,other
corridos alternativos,other
corridos clasicos,other
corridos tumbados,other
corrosion,other
corsican folk,folk
cosmic american,other
cosmic black metal,metal
cosmic death metal,metal
cosmic post-rock,rock
country,other
country blues,blues
country boogie,other
country dawn,other
country gospel,other
country pop,pop
country quebecois,other
country rap,rap
country road,other
